Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-11-28,18.9,19.25,19.4,17.95,18.05,18.15,18.62,41381364,770619023.4,25147,13501161,32.63,-3.9682539682539653,Among top losers
GMRINFRA,EQ,2017-11-29,18.15,18.15,18.85,17.95,18.35,18.45,18.49,42394085,783870291.95,15355,9533439,22.49,1.6528925619834656,Positive
GMRINFRA,EQ,2017-11-30,18.45,18.3,18.85,18.1,18.3,18.35,18.45,30342770,559767962.05,12541,7834081,25.82,-0.5420054200541924,Slight negative
GMRINFRA,EQ,2017-12-01,18.35,18.5,18.6,17.4,17.6,17.6,18.09,21865345,395471935.8,11399,5343540,24.44,-4.087193460490468,Among top losers
GMRINFRA,EQ,2017-12-04,17.6,17.7,17.85,17.1,17.3,17.25,17.43,25962156,452510076.75,8767,8517009,32.81,-1.9886363636363757,Negative
GMRINFRA,EQ,2017-12-05,17.25,17.15,17.3,16.85,17.2,17.2,17.05,21597195,368201371.6,7486,6284270,29.1,-0.28985507246377384,Slight or No change
GMRINFRA,EQ,2017-12-06,17.2,17.05,17.55,16.65,16.75,16.8,17.15,24489461,419936692.75,8898,3187169,13.01,-2.3255813953488302,Negative
GMRINFRA,EQ,2017-12-07,16.8,16.8,17.3,16.8,17.15,17.15,17.05,16719046,285088915.7,7217,2179197,13.03,2.083333333333326,Positive
GMRINFRA,EQ,2017-12-08,17.15,17.25,17.75,17.15,17.65,17.65,17.5,13980326,244599247.2,10089,2625747,18.78,2.9154518950437414,Positive
GMRINFRA,EQ,2017-12-11,17.65,17.85,18.1,17.55,17.65,17.65,17.76,19337980,343458959.8,7252,3783539,19.57,0.0,Slight or No change
GMRINFRA,EQ,2017-12-12,17.65,17.65,17.75,17.05,17.05,17.1,17.32,12146019,210338235.45,7542,3189054,26.26,-3.116147308781858,Among top losers
GMRINFRA,EQ,2017-12-13,17.1,17.15,17.35,16.9,17.0,17.05,17.14,11762521,201576535.35,6204,2379439,20.23,-0.29239766081872176,Slight or No change
GMRINFRA,EQ,2017-12-14,17.05,16.75,17.05,16.55,16.9,16.85,16.76,19261598,322919537.2,8616,3648952,18.94,-1.1730205278592365,Negative
